year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2017,12,AS,Alaska Airlines Inc.,BOS,"Boston, MA: Logan International",116.00,21.00,1.86,1.00,13.47,0.00,4.67,0.00,0.00,740.00,65.00,117.00,393.00,0.00,165.00
2017,11,AS,Alaska Airlines Inc.,BOS,"Boston, MA: Logan International",123.00,14.00,3.53,1.06,7.04,0.00,2.36,0.00,1.00,641.00,107.00,205.00,212.00,0.00,117.00
2017,10,AS,Alaska Airlines Inc.,BOS,"Boston, MA: Logan International",186.00,22.00,2.61,0.00,16.81,0.00,2.58,1.00,0.00,1077.00,95.00,0.00,768.00,0.00,214.00
2017,9,AS,Alaska Airlines Inc.,BOS,"Boston, MA: Logan International",180.00,31.00,4.24,0.00,24.25,0.00,2.51,1.00,0.00,1225.00,180.00,0.00,988.00,0.00,57.00
2017,8,AS,Alaska Airlines Inc.,BOS,"Boston, MA: Logan International",161.00,30.00,5.54,0.00,19.61,0.65,4.21,0.00,1.00,1395.00,308.00,0.00,893.00,40.00,154.00
2017,7,AS,Alaska Airlines Inc.,BOS,"Boston, MA: Logan International",155.00,24.00,4.15,0.34,16.85,0.00,2.65,1.00,0.00,1414.00,191.00,11.00,1145.00,0.00,67.00
2017,6,AS,Alaska Airlines Inc.,BOS,"Boston, MA: Logan International",150.00,47.00,7.20,0.00,37.58,0.00,2.22,3.00,0.00,3631.00,367.00,0.00,3191.00,0.00,73.00
2017,5,AS,Alaska Airlines Inc.,BOS,"Boston, MA: Logan International",155.00,34.00,4.92,1.00,21.61,0.00,6.47,1.00,0.00,2157.00,162.00,198.00,1532.00,0.00,265.00
2017,4,AS,Alaska Airlines Inc.,BOS,"Boston, MA: Logan International",141.00,18.00,3.72,0.59,10.36,0.00,3.33,1.00,1.00,811.00,311.00,13.00,368.00,0.00,119.00
2017,3,AS,Alaska Airlines Inc.,BOS,"Boston, MA: Logan International",119.00,14.00,3.45,0.00,5.56,0.00,4.99,3.00,1.00,976.00,657.00,0.00,167.00,0.00,152.00
2017,2,AS,Alaska Airlines Inc.,BOS,"Boston, MA: Logan International",96.00,14.00,6.63,1.00,3.37,0.00,3.00,4.00,1.00,1152.00,434.00,58.00,510.00,0.00,150.00
2017,1,AS,Alaska Airlines Inc.,BOS,"Boston, MA: Logan International",106.00,19.00,2.82,3.51,8.95,0.00,3.72,1.00,0.00,1132.00,110.00,470.00,374.00,0.00,178.00
